country,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,critical,cases_per_1M,deaths_per_1M,total_tests,tests_per_1M
World,"1,603,652","85,589","95,692","7,234","356,352","1,151,608","49,158",206,12.3,,
USA,"468,566","33,536","16,691","1,900","25,928","425,947","10,011","1,416",50,"2,353,096","7,109"
Spain,"153,222","5,002","15,447",655,"52,165","85,610","7,371","3,277",330,"355,000","7,593"
Italy,"143,626","4,204","18,279",610,"28,470","96,877","3,605","2,375",302,"853,369","14,114"
Germany,"118,235","4,939","2,607",258,"52,407","63,221","4,895","1,411",31,"1,317,887","15,730"
France,"117,749","4,799","12,210","1,341","23,206","82,333","7,066","1,804",187,"333,807","5,114"
China,"81,865",63,"3,335",2,"77,370","1,160",176,57,2,,
Iran,"66,220","1,634","4,110",117,"32,309","29,801","3,918",788,49,"231,393","2,755"
UK,"65,077","4,344","7,978",881,135,"56,964","1,559",959,118,"298,169","4,392"
Turkey,"42,282","4,056",908,96,"2,142","39,232","1,552",501,11,"276,338","3,277"
Belgium,"24,983","1,580","2,523",283,"5,164","17,296","1,285","2,156",218,"84,248","7,269"
Switzerland,"24,051",771,948,53,"10,600","12,503",386,"2,779",110,"178,500","20,625"
Netherlands,"21,762","1,213","2,396",148,250,"19,116","1,424","1,270",140,"101,534","5,926"
Canada,"20,765","1,327",509,82,"5,311","14,945",518,550,13,"370,315","9,812"
Brazil,"18,145","1,957",954,134,173,"17,018",296,85,4,"62,985",296
Portugal,"13,956",815,409,29,205,"13,342",241,"1,369",40,"140,368","13,766"
Austria,"13,244",302,295,22,"5,240","7,709",266,"1,471",33,"126,287","14,022"
S. Korea,"10,423",39,204,4,"6,973","3,246",55,203,4,"477,304","9,310"
Russia,"10,131","1,459",76,13,698,"9,357",8,69,0.5,"1,004,719","6,885"
Israel,"9,968",564,86,13,"1,011","8,871",166,"1,152",10,"117,339","13,557"
Sweden,"9,141",722,793,106,205,"8,143",719,905,79,"54,700","5,416"
India,"6,725",809,227,49,635,"5,863",,5,0.2,"177,584",129
Ireland,"6,574",500,263,28,25,"6,286",165,"1,331",53,"53,000","10,734"
Norway,"6,219",177,108,7,32,"6,079",78,"1,147",20,"121,034","22,326"
Australia,"6,152",100,51,1,"2,987","3,114",81,241,2,"330,134","12,946"
Chile,"5,972",426,57,9,"1,274","4,641",360,312,3,"68,353","3,576"
Denmark,"5,635",233,237,19,"1,736","3,662",120,973,41,"64,002","11,050"
Poland,"5,575",370,174,15,284,"5,117",160,147,5,"107,597","2,843"
Czechia,"5,569",257,112,13,301,"5,156",96,520,10,"106,845","9,977"
Japan,"5,347",680,99,5,685,"4,563",109,42,0.8,"61,498",486
Peru,"5,256",914,138,17,"1,438","3,680",124,159,4,"48,465","1,470"
Romania,"5,202",441,248,28,647,"4,307",178,270,13,"51,802","2,693"
Ecuador,"4,965",515,272,30,339,"4,354",139,281,15,"19,102","1,083"
Pakistan,"4,489",226,65,4,572,"3,852",31,20,0.3,"44,896",203
Malaysia,"4,228",109,67,2,"1,608","2,553",72,131,2,"63,367","1,958"
Philippines,"4,076",206,203,21,124,"3,749",1,37,2,"24,500",224
Indonesia,"3,293",337,280,40,252,"2,761",,12,1,"14,354",52
Saudi Arabia,"3,287",355,44,3,666,"2,577",41,94,1,"115,585","3,320"
Mexico,"3,181",396,174,33,633,"2,374",89,25,1,"25,410",197
Luxembourg,"3,115",81,52,6,500,"2,563",30,"4,976",83,"27,521","43,965"
UAE,"2,990",331,14,2,268,"2,708",1,302,1,"593,095","59,967"
Serbia,"2,867",201,66,1,118,"2,683",127,328,8,"12,347","1,413"
Panama,"2,752",224,66,3,16,"2,670",107,638,15,"11,776","2,729"
Finland,"2,605",118,42,2,300,"2,263",82,470,8,"39,000","7,039"
Thailand,"2,423",54,32,2,940,"1,451",61,35,0.5,"71,860","1,030"
Qatar,"2,376",166,6,,206,"2,164",37,825,2,"43,144","14,975"
Dominican Republic,"2,349",238,118,10,80,"2,151",147,217,11,"7,151",659
Colombia,"2,223",169,69,14,174,"1,980",85,44,1,"34,910",686
Greece,"1,955",71,87,4,269,"1,599",79,188,8,"33,634","3,227"
South Africa,"1,934",89,18,,95,"1,821",7,33,0.3,"68,874","1,161"
Singapore,"1,910",287,6,,460,"1,444",29,326,1,"65,000","11,110"
Argentina,"1,894",99,79,14,365,"1,450",96,42,2,"14,850",329
Ukraine,"1,892",224,57,5,45,"1,790",33,43,1,"20,608",471
Egypt,"1,699",139,118,15,348,"1,233",,17,1,"25,000",244
Algeria,"1,666",94,235,30,347,"1,084",46,38,5,"3,359",77
Iceland,"1,648",32,6,,688,954,11,"4,829",18,"32,663","95,718"
Belarus,"1,486",420,16,3,139,"1,331",55,157,2,"49,000","5,186"
Croatia,"1,407",64,20,1,219,"1,168",34,343,5,"13,680","3,332"
